"","Name","year","rating","duration"
"1","The Shawshank Redemption","(1994)","9.3","142 min"
"2","The Godfather","(1972)","9.2","175 min"
"3","The Dark Knight","(2008)","9.0","152 min"
"4","The Godfather: Part II","(1974)","9.0","202 min"
"5","The Lord of the Rings: The Return of the King","(2003)","8.9","201 min"
"6","Pulp Fiction","(1994)","8.9","154 min"
"7","Schindler's List","(1993)","8.9","195 min"
"8","12 Angry Men","(1957)","8.9","96 min"
"9","Inception","(2010)","8.8","148 min"
"10","Fight Club","(1999)","8.8","139 min"
"11","The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","178 min"
"12","Forrest Gump","(1994)","8.8","142 min"
"13","The Good, the Bad and the Ugly","(1966)","8.8","178 min"
"14","The Lord of the Rings: The Two Towers","(2002)","8.7","179 min"
"15","The Matrix","(1999)","8.7","136 min"
"16","Goodfellas","(1990)","8.7","146 min"
"17","Star Wars: Episode V - The Empire Strikes Back","(1980)","8.7","124 min"
"18","One Flew Over the Cuckoo's Nest","(1975)","8.7","133 min"
"19","Hamilton","(2020)","8.6","160 min"
"20","Parasite","(2019)","8.6","132 min"
"21","Vikram Vedha","(2017)","8.6","147 min"
"22","Interstellar","(2014)","8.6","169 min"
"23","City of God","(2002)","8.6","130 min"
"24","Spirited Away","(2001)","8.6","125 min"
"25","Saving Private Ryan","(1998)","8.6","169 min"
"26","The Green Mile","(1999)","8.6","189 min"
"27","Life Is Beautiful","(1997)","8.6","116 min"
"28","Se7en","(1995)","8.6","127 min"
"29","The Silence of the Lambs","(1991)","8.6","118 min"
"30","Star Wars: Episode IV - A New Hope","(1977)","8.6","121 min"
"31","Harakiri","(1962)","8.6","133 min"
"32","Seven Samurai","(1954)","8.6","207 min"
"33","It's a Wonderful Life","(1946)","8.6","130 min"
"34","Joker","(2019)","8.5","122 min"
"35","Whiplash","(2014)","8.5","106 min"
"36","The Intouchables","(2011)","8.5","112 min"
"37","The Prestige","(2006)","8.5","130 min"
"38","The Departed","(2006)","8.5","151 min"
"39","The Pianist","(2002)","8.5","150 min"
"40","Gladiator","(2000)","8.5","155 min"
"41","American History X","(1998)","8.5","119 min"
"42","The Usual Suspects","(1995)","8.5","106 min"
"43","Léon: The Professional","(1994)","8.5","110 min"
"44","The Lion King","(1994)","8.5","88 min"
"45","Terminator 2: Judgment Day","(1991)","8.5","137 min"
"46","Cinema Paradiso","(1988)","8.5","155 min"
"47","Grave of the Fireflies","(1988)","8.5","89 min"
"48","Back to the Future","(1985)","8.5","116 min"
"49","Once Upon a Time in the West","(1968)","8.5","165 min"
"50","Psycho","(1960)","8.5","109 min"
